200 mil;Bubble;Insertion;Selection;Busca Linear;Busca Binária
1;49.931.936.386;19.954.890.923;20.002.651.370;59.996;19.954.890.941
2;50.050.948.009;20.034.232.005;20.002.658.856;36.049;20.034.232.021
3;49.904.199.871;19.936.399.913;20.002.635.676;6.585;19.936.399.929
4;49.976.440.204;19.984.560.135;20.002.654.280;165.733;19.984.560.153
5;50.028.261.829;20.019.107.885;20.002.661.920;116.451;20.019.107.902
6;49.902.876.337;19.935.517.557;20.002.657.230;42.093;19.935.517.574
7;49.991.016.478;19.994.277.651;20.002.649.736;132.733;19.994.277.666
8;49.954.375.411;19.969.850.273;20.002.658.664;7.150;19.969.850.290
9;50.068.474.312;20.045.916.207;20.002.665.405;16.668;20.045.916.224
10;50.061.294.637;20.041.129.757;20.002.651.843;55.360;20.041.129.775
11;49.938.212.152;19.959.074.767;20.002.655.064;35.852;19.959.074.785
12;50.077.549.309;20.051.966.205;20.002.652.655;141.154;20.051.966.217
13;50.006.292.847;20.004.461.897;20.002.664.225;180.834;20.004.461.915
14;50.058.454.150;20.039.236.099;20.002.648.150;186.496;20.039.236.117
15;50.025.685.069;20.017.390.045;20.002.640.307;126.582;20.017.390.062
16;50.021.243.494;20.014.428.995;20.002.653.402;69.235;20.014.429.013
17;49.999.779.289;20.000.119.525;20.002.633.749;16.270;20.000.119.542
18;50.031.819.655;20.021.479.769;20.002.645.920;135.243;20.021.479.786
19;49.996.960.096;19.998.240.063;20.002.668.008;57.672;19.998.240.077
20;49.999.076.260;19.999.650.839;20.002.644.057;27.368;19.999.650.856
21;49.939.060.627;19.959.640.417;20.002.648.183;36.189;19.959.640.432
22;49.972.542.646;19.981.961.763;20.002.639.975;178.750;19.981.961.778
23;49.986.268.390;19.991.112.259;20.002.638.706;123.792;19.991.112.277
24;50.017.820.218;20.012.146.811;20.002.655.913;166.532;20.012.146.829
25;50.077.616.797;20.052.011.197;20.002.646.484;67.501;20.052.011.213
26;49.936.571.227;19.957.980.817;20.002.655.284;134.715;19.957.980.832
27;50.019.517.288;20.013.278.191;20.002.649.619;66.837;20.013.278.207
28;50.048.585.554;20.032.657.035;20.002.657.093;18.488;20.032.657.053
29;49.973.299.741;19.982.466.493;20.002.662.677;29.743;19.982.466.509
30;49.944.526.606;19.963.284.403;20.002.648.538;78.334;19.963.284.421
