800 mil;Bubble;Insertion;Selection;Busca Linear;Busca Binária
1;799.757.047.690;319.839.098.459;320.011.755.299;298.570;319.839.098.479
2;799.716.199.360;319.811.866.239;320.011.751.098;396.168;319.811.866.258
3;800.165.563.942;320.111.442.627;320.011.750.749;675.972;320.111.442.647
4;799.626.046.627;319.751.764.417;320.011.683.248;637.380;319.751.764.437
5;800.445.966.571;320.298.377.713;320.011.725.406;603.941;320.298.377.733
6;799.935.800.464;319.958.266.975;320.011.698.317;39.315;319.958.266.994
7;800.283.017.161;320.189.744.773;320.011.748.556;733.709;320.189.744.793
8;800.255.692.075;320.171.528.049;320.011.681.807;389.909;320.171.528.069
9;799.659.983.929;319.774.389.285;320.011.747.145;251.823;319.774.389.305
10;800.240.713.183;320.161.542.121;320.011.746.811;646.828;320.161.542.141
11;800.412.259.969;320.275.906.645;320.011.701.178;94.630;320.275.906.663
12;799.728.272.602;319.819.915.067;320.011.694.727;396.168;319.819.915.087
13;800.573.900.428;320.383.666.951;320.011.721.554;262.661;320.383.666.969
14;800.386.744.477;320.258.896.317;320.011.733.129;59.602;320.258.896.336
15;800.372.584.681;320.249.456.453;320.011.724.916;539.045;320.249.456.473
16;799.926.978.880;319.952.385.919;320.011.742.919;708.135;319.952.385.934
17;800.404.197.526;320.270.531.683;320.011.772.068;443.210;320.270.531.703
18;800.018.667.202;320.013.511.467;320.011.706.748;571.932;320.013.511.487
19;799.840.307.800;319.894.605.199;320.011.678.236;761.436;319.894.605.217
20;800.625.549.535;320.418.099.689;320.011.734.908;196.809;320.418.099.707
21;799.998.896.212;320.000.330.807;320.011.690.334;502.285;320.000.330.826
22;799.905.947.785;319.938.365.189;320.011.710.042;428.914;319.938.365.207
23;800.386.557.241;320.258.771.493;320.011.708.393;290.248;320.258.771.513
24;799.397.159.104;319.599.172.735;320.011.721.172;625.239;319.599.172.754
25;800.156.305.390;320.105.270.259;320.011.671.634;106.158;320.105.270.277
26;799.961.168.263;319.975.178.841;320.011.734.272;191.769;319.975.178.861
27;800.026.553.431;320.018.768.953;320.011.663.729;411.733;320.018.768.971
28;799.786.999.768;319.859.066.511;320.011.721.979;330.909;319.859.066.531
29;799.876.336.612;319.918.624.407;320.011.702.804;170.894;319.918.624.426
30;799.821.736.018;319.882.224.011;320.011.715.811;377.986;319.882.224.030
